,,FDR_ACE,power_ACE,FDR_Fan,power_Fan,FDR_BH,power_BH,FDR_BY,power_BY,FDR_e_BH,power_e_BH,Case,var
0.2,factor,0.041,0.816,0.041,0.72,0.044,0.693,0.004,0.531,0.002,0.465,P1,Homoscedasticity
,no factor,0.043,0.819,0.041,0.815,0.038,0.804,0.004,0.675,0.002,0.65,P1,Homoscedasticity
0.05,factor,0.048,0.734,0.051,0.628,0.041,0.584,0.004,0.437,0.001,0.278,P1,Homoscedasticity
,no factor,0.049,0.751,0.048,0.73,0.045,0.718,0.004,0.62,0.0002,0.501,P1,Homoscedasticity
0.2,factor,0.043,0.904,0.039,0.811,0.04,0.778,0.005,0.645,0.002,0.602,P2,Homoscedasticity
,no factor,0.043,0.905,0.042,0.904,0.041,0.901,0.006,0.82,0.003,0.804,P2,Homoscedasticity
0.05,factor,0.05,0.859,0.047,0.717,0.053,0.691,0.004,0.569,0.001,0.446,P2,Homoscedasticity
,no factor,0.052,0.854,0.05,0.852,0.046,0.851,0.008,0.769,0.001,0.684,P2,Homoscedasticity
0.2,factor,0.044,0.937,0.042,0.834,0.044,0.811,0.006,0.687,0.004,0.654,P3,Homoscedasticity
,no factor,0.048,0.933,0.041,0.933,0.039,0.932,0.005,0.874,0.004,0.861,P3,Homoscedasticity
0.05,factor,0.052,0.892,0.054,0.792,0.031,0.731,0.01,0.607,0.0002,0.507,P3,Homoscedasticity
,no factor,0.05,0.899,0.051,0.893,0.048,0.891,0.006,0.83,0.001,0.768,P3,Homoscedasticity
0.2,factor,0.044,0.541,0.04,0.465,0.036,0.431,0.006,0.226,0.001,0.077,P4,Heteroscedasticity
,no factor,0.039,0.56,0.042,0.539,0.037,0.527,0.003,0.326,0.001,0.18,P4,Heteroscedasticity
0.05,factor,0.049,0.397,0.042,0.346,0.048,0.285,0.003,0.134,0,0.013,P4,Heteroscedasticity
,no factor,0.047,0.424,0.051,0.406,0.047,0.39,0.005,0.22,0,0.051,P4,Heteroscedasticity
0.2,factor,0.042,0.713,0.038,0.653,0.032,0.596,0.01,0.409,0.001,0.307,P5,Heteroscedasticity
,no factor,0.043,0.721,0.04,0.719,0.04,0.714,0.005,0.551,0.002,0.486,P5,Heteroscedasticity
0.05,factor,0.05,0.613,0.051,0.545,0.046,0.471,0.003,0.305,0.0003,0.112,P5,Heteroscedasticity
,no factor,0.049,0.621,0.043,0.62,0.05,0.615,0.006,0.459,0,0.295,P5,Heteroscedasticity
0.2,factor,0.043,0.782,0.04,0.69,0.046,0.661,0.005,0.496,0.0004,0.408,P6,Heteroscedasticity
,no factor,0.044,0.784,0.046,0.783,0.04,0.783,0.005,0.652,0.002,0.604,P6,Heteroscedasticity
0.05,factor,0.05,0.696,0.049,0.617,0.052,0.553,0.008,0.385,0.0004,0.211,P6,Heteroscedasticity
,no factor,0.052,0.708,0.055,0.696,0.049,0.701,0.005,0.567,0,0.419,P6,Heteroscedasticity
